count,country_1,lin,sum,percentage,month
1,China,B,2,50.0,2019-12
1,China,None,2,50.0,2019-12
1,Argentina,None,1,100.0,2020-01
1,Armenia,B.1.1,3,33.33333333333333,2020-01
2,Armenia,B.4,3,66.66666666666666,2020-01
2,Australia,None,453,0.44150110375275936,2020-01
6,Australia,D.3,453,1.3245033112582782,2020-01
402,Australia,D.2,453,88.74172185430463,2020-01
2,Australia,B.1.36.10,453,0.44150110375275936,2020-01
1,Australia,B.1.36,453,0.22075055187637968,2020-01
4,Australia,B.1.338,453,0.8830022075055187,2020-01
2,Australia,B.1.234,453,0.44150110375275936,2020-01
1,Australia,B.1.516,453,0.22075055187637968,2020-01
2,Australia,B.1.164,453,0.44150110375275936,2020-01
4,Australia,B.1.1.431,453,0.8830022075055187,2020-01
12,Australia,B.1,453,2.6490066225165565,2020-01
7,Australia,B,453,1.545253863134658,2020-01
2,Australia,A.2.2,453,0.44150110375275936,2020-01
5,Australia,A,453,1.1037527593818985,2020-01
1,Australia,B.1.177,453,0.22075055187637968,2020-01
3,Austria,B.1.177.81,113,2.6548672566371683,2020-01
5,Austria,B.1.221,113,4.424778761061947,2020-01
1,Austria,B.1.234,113,0.8849557522123894,2020-01
12,Austria,B.1.258,113,10.619469026548673,2020-01
1,Austria,C.35,113,0.8849557522123894,2020-01
1,Austria,B.1.351,113,0.8849557522123894,2020-01
1,Austria,B.1.527,113,0.8849557522123894,2020-01
2,Austria,C.36,113,1.7699115044247788,2020-01
1,Austria,B.1.177.62,113,0.8849557522123894,2020-01
4,Austria,B.1.258.17,113,3.5398230088495577,2020-01
29,Austria,B.1.177.43,113,25.663716814159294,2020-01
1,Austria,B.1.36.8,113,0.8849557522123894,2020-01
1,Austria,B.1.177.33,113,0.8849557522123894,2020-01
6,Austria,B.1.177,113,5.3097345132743365,2020-01
3,Austria,B.1.160.31,113,2.6548672566371683,2020-01
7,Austria,B.1.160.22,113,6.1946902654867255,2020-01
9,Austria,B.1.160,113,7.964601769911504,2020-01
2,Austria,B.1.1.70,113,1.7699115044247788,2020-01
4,Austria,B.1.1.7,113,3.5398230088495577,2020-01
