Collection date,G,GH,GR,GRY,GV,L,O,S,V,sum
2019-12-31,,,,,,,,,,
2020-01-01,,,,,,,,,,
2020-01-02,,,,,,,,,,
2020-01-03,,,,,,,,,,
2020-01-04,,,,,,,,,,
2020-01-05,,,,,,,,,,
2020-01-06,9.937888198757763,5.900621118012422,56.83229813664597,0.6211180124223602,0.0,5.279503105590062,18.633540372670808,2.7950310559006213,0.0,46.0
2020-01-07,10.0,5.9375,57.1875,0.625,0.0,5.0,18.4375,2.8125,0.0,45.714285714285715
2020-01-08,0.0,0.0,0.0,0.0,0.0,88.88888888888887,0.0,11.111111111111109,0.0,1.2857142857142858
2020-01-09,0.0,0.0,12.5,0.0,0.0,75.0,0.0,12.5,0.0,1.1428571428571428
2020-01-10,0.0,0.0,11.111111111111109,0.0,0.0,66.66666666666666,0.0,22.222222222222218,0.0,1.2857142857142858
2020-01-11,0.0,0.0,8.333333333333332,0.0,0.0,66.66666666666666,0.0,25.0,0.0,1.7142857142857142
2020-01-12,0.0,0.0,10.0,0.0,0.0,70.0,0.0,20.0,0.0,1.4285714285714286
2020-01-13,0.0,0.0,6.666666666666667,0.0,0.0,66.66666666666667,6.666666666666667,20.0,0.0,2.142857142857143
2020-01-14,0.0,0.0,5.88235294117647,0.0,0.0,58.82352941176471,11.76470588235294,23.52941176470588,0.0,2.4285714285714284
2020-01-15,0.0,0.0,5.5555555555555545,0.0,0.0,44.444444444444436,11.111111111111109,38.888888888888886,0.0,2.5714285714285716
2020-01-16,0.0,0.0,0.0,0.0,0.0,54.54545454545454,13.636363636363635,31.818181818181817,0.0,3.142857142857143
2020-01-17,0.0,0.0,0.0,0.0,0.0,55.99999999999999,11.999999999999998,31.999999999999996,0.0,3.5714285714285716
2020-01-18,0.0,0.0,0.0,0.0,0.0,48.275862068965516,17.241379310344826,34.48275862068965,0.0,4.142857142857143
2020-01-19,0.0,0.0,0.0,0.0,0.0,50.0,18.75,31.25,0.0,4.571428571428571
2020-01-20,0.0,0.0,0.0,0.0,0.0,44.444444444444436,19.444444444444443,36.11111111111111,0.0,5.142857142857143
2020-01-21,0.0,0.0,0.0,0.0,0.0,50.0,16.129032258064516,33.87096774193548,0.0,8.857142857142858
2020-01-22,0.0,0.0,0.0,0.0,0.0,47.524752475247524,15.841584158415841,36.633663366336634,0.0,14.428571428571429
2020-01-23,0.0,0.0,0.0,0.0,0.0,46.5648854961832,19.083969465648856,33.58778625954198,0.7633587786259541,18.714285714285715
2020-01-24,1.1976047904191616,0.0,0.0,0.0,0.0,46.10778443113772,21.55688622754491,30.53892215568862,0.5988023952095808,23.857142857142858
2020-01-25,0.9174311926605503,0.0,0.0,0.0,0.0,50.91743119266056,18.34862385321101,28.899082568807337,0.9174311926605503,31.142857142857142
2020-01-26,0.72992700729927,0.0,0.0,0.0,0.0,45.98540145985401,19.70802919708029,32.846715328467155,0.72992700729927,39.142857142857146
2020-01-27,0.65359477124183,0.0,0.0,0.0,0.0,46.73202614379085,20.91503267973856,31.045751633986928,0.65359477124183,43.714285714285715
2020-01-28,0.977198697068404,0.0,0.0,0.0,0.0,45.60260586319219,20.846905537459286,31.92182410423453,0.6514657980456027,43.857142857142854
2020-01-29,1.2698412698412698,0.0,0.0,0.0,0.0,45.714285714285715,22.539682539682538,29.841269841269842,0.6349206349206349,45.0
2020-01-30,1.1799410029498523,0.0,0.0,0.0,0.0,42.47787610619469,23.008849557522122,33.03834808259587,0.29498525073746307,48.42857142857143
2020-01-31,0.8720930232558137,0.0,0.0,0.0,0.0,40.406976744186046,23.25581395348837,35.17441860465116,0.2906976744186046,49.142857142857146
2020-02-01,1.0362694300518134,1.0362694300518134,0.25906735751295334,0.0,0.0,34.9740932642487,26.94300518134715,35.751295336787564,0.0,55.142857142857146
2020-02-02,1.0610079575596816,1.0610079575596816,0.2652519893899204,0.0,0.0,37.13527851458886,26.790450928381965,33.687002652519894,0.0,53.857142857142854
2020-02-03,1.0781671159029649,1.3477088948787064,0.2695417789757412,0.0,0.0,36.38814016172506,27.762803234501348,33.153638814016176,0.0,53.0
2020-02-04,0.7874015748031495,1.574803149606299,0.26246719160104987,0.0,0.0,35.69553805774277,29.92125984251968,31.75853018372703,0.0,54.42857142857143
2020-02-05,1.0610079575596816,1.5915119363395225,0.2652519893899204,0.0,0.0,35.0132625994695,29.708222811671085,32.36074270557029,0.0,53.857142857142854
2020-02-06,1.4124293785310735,1.694915254237288,0.2824858757062147,0.0,0.0,35.59322033898305,30.508474576271187,29.943502824858758,0.5649717514124294,50.57142857142857
2020-02-07,1.1799410029498523,1.7699115044247788,0.29498525073746307,0.0,0.0,37.16814159292035,30.678466076696164,28.023598820058996,0.8849557522123894,48.42857142857143
2020-02-08,1.4184397163120568,0.7092198581560284,0.0,0.0,0.0,39.00709219858156,32.269503546099294,25.531914893617024,1.0638297872340425,40.285714285714285
2020-02-09,1.4285714285714286,1.0714285714285714,0.0,0.0,0.0,35.357142857142854,38.92857142857143,22.142857142857146,1.0714285714285714,40.0
2020-02-10,1.4336917562724014,1.4336917562724014,0.0,0.0,0.0,31.899641577060933,42.65232974910395,21.50537634408602,1.0752688172043012,39.857142857142854
2020-02-11,1.4814814814814816,1.1111111111111112,0.0,0.0,0.0,32.22222222222222,43.33333333333334,20.740740740740744,1.1111111111111112,38.57142857142857
2020-02-12,0.847457627118644,1.271186440677966,0.0,0.0,0.0,30.93220338983051,47.45762711864407,18.220338983050848,1.271186440677966,33.714285714285715
2020-02-13,0.45045045045045046,2.2522522522522523,0.0,0.0,0.0,30.180180180180177,49.549549549549546,17.117117117117118,0.45045045045045046,31.714285714285715
2020-02-14,0.47619047619047616,2.3809523809523814,0.0,0.0,0.0,28.095238095238095,50.476190476190474,18.57142857142857,0.0,30.0
2020-02-15,0.0,2.347417840375587,1.4084507042253522,0.0,0.0,24.413145539906107,55.868544600938975,15.96244131455399,0.0,30.428571428571427
2020-02-16,0.0,2.5380710659898478,1.5228426395939085,0.0,0.0,22.33502538071066,58.37563451776649,15.228426395939085,0.0,28.142857142857142
2020-02-17,0.0,1.8604651162790697,1.3953488372093021,0.0,0.0,20.46511627906977,60.0,15.81395348837209,0.46511627906976744,30.714285714285715
2020-02-18,0.0,2.955665024630542,1.477832512315271,0.0,0.0,17.733990147783253,59.11330049261083,14.778325123152708,3.9408866995073892,29.0
2020-02-19,0.0,2.727272727272727,1.3636363636363635,0.0,0.0,15.909090909090908,56.363636363636374,12.727272727272728,10.909090909090908,31.428571428571427
2020-02-20,0.0,2.1097046413502114,1.2658227848101267,0.0,0.0,14.345991561181433,51.8987341772152,12.236286919831226,18.143459915611817,33.857142857142854
2020-02-21,0.0,2.3076923076923075,1.1538461538461537,0.0,0.0,15.384615384615383,47.692307692307686,8.846153846153845,24.61538461538461,37.142857142857146
2020-02-22,0.4048582995951417,2.42914979757085,0.4048582995951417,0.0,0.0,13.765182186234817,42.10526315789474,9.7165991902834,31.17408906882591,35.285714285714285
2020-02-23,0.4081632653061224,2.4489795918367347,0.4081632653061224,0.0,0.0,15.510204081632653,35.91836734693877,11.020408163265307,34.285714285714285,35.0
2020-02-24,0.8849557522123894,2.6548672566371683,0.8849557522123894,0.0,0.0,17.25663716814159,28.31858407079646,9.734513274336283,40.26548672566372,32.285714285714285
2020-02-25,0.8097165991902834,1.6194331983805668,0.8097165991902834,0.0,0.0,19.028340080971663,31.17408906882591,12.145748987854251,34.41295546558704,35.285714285714285
2020-02-26,0.8230452674897119,2.05761316872428,0.8230452674897119,0.0,0.0,18.930041152263374,31.68724279835391,13.580246913580247,32.098765432098766,34.714285714285715
2020-02-27,0.8438818565400845,2.1097046413502114,1.2658227848101267,0.0,0.0,21.518987341772153,32.06751054852321,14.345991561181433,27.848101265822788,33.857142857142854
2020-02-28,0.8097165991902834,1.6194331983805668,1.214574898785425,0.0,0.0,25.506072874493928,33.603238866396765,17.408906882591094,19.838056680161944,35.285714285714285
2020-02-29,0.4291845493562232,1.7167381974248928,0.8583690987124464,0.0,0.0,28.32618025751073,35.1931330472103,16.738197424892704,16.738197424892704,33.285714285714285
2020-03-01,4.534606205250597,3.8186157517899764,9.785202863961814,0.0,0.23866348448687352,18.615751789976134,31.50357995226731,22.673031026252985,8.83054892601432,59.857142857142854
2020-03-02,4.385964912280702,3.508771929824561,8.991228070175438,0.0,0.21929824561403508,21.92982456140351,31.578947368421055,23.026315789473685,6.359649122807018,65.14285714285714
2020-03-03,6.153846153846154,3.7362637362637363,10.10989010989011,0.0,0.21978021978021978,22.1978021978022,29.010989010989015,21.97802197802198,6.593406593406594,65.0
2020-03-04,6.1571125265392785,4.033970276008493,10.615711252653927,0.0,0.2123142250530785,22.929936305732483,28.02547770700637,22.505307855626324,5.520169851380042,67.28571428571429
2020-03-05,6.765327695560254,4.016913319238901,10.570824524312897,0.0,0.21141649048625794,23.890063424947147,26.849894291754755,23.25581395348837,4.439746300211417,67.57142857142857
2020-03-06,7.709251101321585,4.185022026431718,11.894273127753303,0.0,0.22026431718061673,22.246696035242287,25.770925110132158,23.127753303964756,4.845814977973568,64.85714285714286
2020-03-07,8.639308855291578,4.535637149028078,12.958963282937367,0.0,0.21598272138228944,22.03023758099352,24.406047516198708,22.89416846652268,4.319654427645789,66.14285714285714
2020-03-08,8.633093525179856,3.9568345323741005,8.992805755395683,0.0,0.0,31.654676258992804,21.223021582733814,19.424460431654676,6.115107913669064,39.714285714285715
2020-03-09,11.654135338345865,5.263157894736842,11.278195488721805,0.0,0.0,26.31578947368421,15.037593984962406,22.932330827067666,7.518796992481203,38.0
2020-03-10,9.33734939759036,7.83132530120482,8.734939759036145,0.0,0.0,19.879518072289155,27.710843373493976,18.373493975903614,8.132530120481928,47.42857142857143
2020-03-11,9.722222222222223,8.888888888888888,10.0,0.0,0.0,17.777777777777775,28.055555555555557,18.055555555555554,7.5,51.42857142857143
2020-03-12,10.0,10.238095238095239,9.523809523809526,0.0,0.0,14.047619047619047,30.476190476190474,18.095238095238095,7.619047619047619,60.0
2020-03-13,9.224318658280922,11.740041928721174,9.224318658280922,0.0,0.0,11.949685534591195,29.559748427672954,21.38364779874214,6.918238993710693,68.14285714285714
2020-03-14,8.596491228070176,10.87719298245614,8.421052631578947,0.0,0.0,10.87719298245614,30.0,24.912280701754383,6.315789473684211,81.42857142857143
2020-03-15,8.151382823871907,12.518195050946144,10.334788937409025,0.0,0.0,10.334788937409025,27.219796215429405,23.144104803493452,8.296943231441048,98.14285714285714
2020-03-16,8.258064516129032,11.612903225806452,11.483870967741936,0.0,0.0,10.064516129032258,27.225806451612904,22.967741935483872,8.38709677419355,110.71428571428571
2020-03-17,8.581644815256258,12.634088200238377,14.064362336114423,0.0,0.0,9.535160905840286,22.884386174016687,24.195470798569723,8.104886769964242,119.85714285714286
2020-03-18,9.368191721132899,13.725490196078432,15.359477124183007,0.0,0.0,9.368191721132899,21.24183006535948,22.875816993464053,8.061002178649238,131.14285714285714
2020-03-19,10.548977395048437,13.562970936490851,17.222820236813778,0.0,0.0,9.472551130247577,19.160387513455326,22.38966630785791,7.642626480086114,132.71428571428572
2020-03-20,10.633946830265849,13.496932515337424,18.609406952965234,0.0,0.0,10.020449897750511,19.631901840490794,20.449897750511248,7.157464212678937,139.71428571428572
2020-03-21,11.168032786885247,15.368852459016393,20.696721311475414,0.0,0.0,9.733606557377051,17.213114754098363,18.237704918032787,7.581967213114754,139.42857142857142
2020-03-22,12.327311370882041,15.515409139213604,21.041445270988312,0.0,0.0,9.351753453772584,18.49096705632306,17.534537725823597,5.738575982996812,134.42857142857142
2020-03-23,12.407211028632027,17.497348886532343,21.633085896076352,0.0,0.0,8.8016967126193,19.19406150583245,15.37645811240721,5.090137857900317,134.71428571428572
2020-03-24,13.076923076923078,19.120879120879124,21.31868131868132,0.0,0.0,8.901098901098901,19.120879120879124,13.736263736263737,4.725274725274726,130.0
