Collection date,Alpha,Beta,Delta,Eta,Gamma,Iota,Kappa,Lambda,Others,sum
2019-12-31,,,,,,,,,,
2020-01-01,,,,,,,,,,
2020-01-02,,,,,,,,,,
2020-01-03,,,,,,,,,,
2020-01-04,,,,,,,,,,
2020-01-05,,,,,,,,,,
2020-01-06,2.484472049689441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.51552795031056,46.0
2020-01-07,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,45.714285714285715
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.2857142857142858
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.1428571428571428
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.2857142857142858
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.7142857142857142
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.4285714285714286
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.142857142857143
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.4285714285714284
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.5714285714285716
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.142857142857143
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.5714285714285716
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.142857142857143
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.571428571428571
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.142857142857143
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.857142857142858
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.428571428571429
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.714285714285715
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23.857142857142858
2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,31.142857142857142
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,39.142857142857146
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,43.714285714285715
2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,43.857142857142854
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,45.0
2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,48.42857142857143
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,49.142857142857146
2020-02-01,0.0,0.5181347150259067,0.0,0.0,0.0,0.0,0.0,0.0,99.48186528497408,55.142857142857146
2020-02-02,0.0,0.5305039787798408,0.0,0.0,0.0,0.0,0.0,0.0,99.46949602122017,53.857142857142854
2020-02-03,0.0,0.5390835579514824,0.0,0.0,0.0,0.0,0.0,0.0,99.46091644204851,53.0
2020-02-04,0.0,0.5249343832020997,0.0,0.0,0.0,0.0,0.0,0.0,99.47506561679789,54.42857142857143
2020-02-05,0.0,0.5305039787798408,0.0,0.0,0.0,0.0,0.0,0.0,99.46949602122017,53.857142857142854
2020-02-06,0.0,0.5649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,99.43502824858757,50.57142857142857
2020-02-07,0.0,0.5899705014749261,0.0,0.0,0.0,0.0,0.0,0.0,99.41002949852508,48.42857142857143
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.285714285714285
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,39.857142857142854
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,38.57142857142857
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33.714285714285715
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,31.714285714285715
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,30.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,30.428571428571427
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,28.142857142857142
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,30.714285714285715
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,31.428571428571427
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33.857142857142854
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37.142857142857146
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,35.285714285714285
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,35.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32.285714285714285
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,35.285714285714285
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,34.714285714285715
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33.857142857142854
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,35.285714285714285
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33.285714285714285
2020-03-01,0.0,0.47732696897374705,0.0,0.0,0.0,0.0,0.0,0.0,99.52267303102626,59.857142857142854
2020-03-02,0.0,0.43859649122807015,0.0,0.0,0.0,0.0,0.0,0.0,99.56140350877195,65.14285714285714
2020-03-03,0.0,0.43956043956043955,0.0,0.0,0.0,0.0,0.21978021978021978,0.0,99.34065934065934,65.0
2020-03-04,0.0,0.424628450106157,0.0,0.0,0.0,0.0,0.2123142250530785,0.0,99.36305732484077,67.28571428571429
2020-03-05,0.0,0.42283298097251587,0.0,0.0,0.0,0.0,0.21141649048625794,0.0,99.36575052854121,67.57142857142857
2020-03-06,0.0,0.44052863436123346,0.0,0.0,0.0,0.0,0.6607929515418501,0.0,98.8986784140969,64.85714285714286
2020-03-07,0.0,0.4319654427645789,0.0,0.0,0.0,0.0,0.6479481641468683,0.0,98.92008639308855,66.14285714285714
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,1.079136690647482,0.0,98.92086330935251,39.714285714285715
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,1.1278195488721803,0.0,98.87218045112782,38.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.6024096385542168,0.0,99.3975903614458,47.42857142857143
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555555,0.0,99.44444444444444,51.42857142857143
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.47619047619047616,0.0,99.52380952380952,60.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,68.14285714285714
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,81.42857142857143
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,98.14285714285714
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,110.71428571428571
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,119.85714285714286
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,131.14285714285714
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,132.71428571428572
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,139.71428571428572
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,139.42857142857142
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,134.42857142857142
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,134.71428571428572
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,130.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,124.42857142857143
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,129.0
2020-03-27,0.0,0.1182033096926714,0.0,0.0,0.0,0.0,0.0,0.0,99.88179669030733,120.85714285714286
2020-03-28,0.0,0.12091898428053204,0.0,0.0,0.0,0.0,0.0,0.0,99.87908101571948,118.14285714285714
2020-03-29,0.0,0.11947431302270012,0.0,0.0,0.0,0.0,0.0,0.0,99.88052568697731,119.57142857142857
2020-03-30,0.0,0.11507479861910241,0.0,0.0,0.0,0.0,0.0,0.0,99.88492520138091,124.14285714285714
2020-03-31,0.0,0.11049723756906078,0.0,0.0,0.0,0.0,0.0,0.0,99.88950276243094,129.28571428571428
2020-04-01,0.0,0.0857632933104631,0.0,0.0,0.0,0.0,0.0,0.0,99.91423670668952,166.57142857142858
2020-04-02,0.0,0.08223684210526315,0.0,0.0,0.0,0.0,0.0,0.0,99.91776315789474,173.71428571428572
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,184.0
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,188.71428571428572
2020-04-05,0.0,0.075642965204236,0.0,0.0,0.0,0.0,0.0,0.0,99.92435703479576,188.85714285714286
2020-04-06,0.0,0.06756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,99.93243243243244,211.42857142857142
2020-04-07,0.0,0.0649772579597141,0.0,0.0,0.0,0.0,0.0,0.0,99.93502274204029,219.85714285714286
2020-04-08,0.0,0.07256894049346879,0.0,0.0,0.0,0.0,0.0,0.0,99.92743105950653,196.85714285714286
2020-04-09,0.0,0.06988120195667365,0.0,0.0,0.0,0.0,0.0,0.0,99.93011879804334,204.42857142857142
2020-04-10,0.0,0.06671114076050699,0.0,0.0,0.0,0.0,0.0,0.0,99.9332888592395,214.14285714285714
2020-04-11,0.0,0.0649772579597141,0.0,0.0,0.0,0.0,0.0,0.0,99.93502274204029,219.85714285714286
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,221.0
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,204.42857142857142
2020-04-14,0.0,0.07017543859649122,0.0,0.0,0.0,0.0,0.0,0.0,99.9298245614035,203.57142857142858
2020-04-15,0.0,0.1401541695865452,0.0,0.0,0.0,0.0,0.0,0.0,99.85984583041346,203.85714285714286
2020-04-16,0.0,0.14513788098693758,0.0,0.0,0.0,0.0,0.0,0.0,99.85486211901306,196.85714285714286
2020-04-17,0.0,0.14947683109118087,0.0,0.0,0.0,0.0,0.0,0.0,99.85052316890882,191.14285714285714
2020-04-18,0.0,0.15467904098994584,0.0,0.0,0.0,0.0,0.0,0.0,99.84532095901004,184.71428571428572
2020-04-19,0.0,0.15772870662460567,0.0,0.0,0.0,0.0,0.0,0.0,99.84227129337539,181.14285714285714
2020-04-20,0.0,0.16260162601626013,0.0,0.0,0.0,0.0,0.0,0.0,99.83739837398373,175.71428571428572
2020-04-21,0.0,0.0856898029134533,0.0,0.0,0.0,0.0,0.0,0.0,99.91431019708655,166.71428571428572
2020-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,155.71428571428572
